Date,Crystal Palace,Fulham,Bournemouth,Leeds,Newcastle,Tottenham,Everton,Leicester,Man United,West Ham,Wolves,Brentford,Southampton,Man City,Brighton,Arsenal,Aston Villa,Nott'm Forest,Chelsea,Liverpool
2023/2/25,27,39,21,22,41,42,21,24,49,23,24,35,18,55,35,57,31,25,31,36
2023/2/26,27,39,21,22,41,45,21,24,49,23,24,35,18,55,35,57,31,25,31,36
2023/3/1,27,39,21,22,41,45,21,24,49,23,24,35,18,55,35,60,31,25,31,39
2023/3/4,27,39,21,22,41,45,21,24,49,23,27,35,21,58,38,63,34,25,34,39
2023/3/5,27,39,21,22,41,45,22,24,49,23,27,35,21,58,38,63,34,26,34,42
2023/3/6,27,39,21,22,41,45,22,24,49,23,27,38,21,58,38,63,34,26,34,42
2023/3/11,27,39,24,23,41,48,25,24,49,23,27,38,21,61,39,63,34,26,37,42
2023/3/12,27,39,24,23,44,48,25,24,50,24,27,38,22,61,39,66,35,26,37,42
2023/3/15,27,39,24,23,44,48,25,24,50,24,27,41,22,61,42,66,35,26,37,42
2023/3/17,27,39,24,23,47,48,25,24,50,24,27,41,22,61,42,66,35,26,37,42
2023/3/18,27,39,24,26,47,49,26,25,50,24,27,42,23,61,42,66,38,26,38,42
2023/3/19,27,39,24,26,47,49,26,25,50,24,27,42,23,61,42,69,38,26,38,42
2023/4/1,30,39,27,26,47,49,26,25,50,24,28,43,23,64,43,72,41,27,38,42
2023/4/2,30,39,27,26,50,49,26,25,50,27,28,43,23,64,43,72,41,27,38,42
2023/4/3,30,39,27,26,50,50,27,25,50,27,28,43,23,64,43,72,41,27,38,42
2023/4/4,30,39,27,29,50,50,27,25,50,27,28,43,23,64,46,72,44,27,39,43
2023/4/5,30,39,27,29,53,50,27,25,53,27,28,43,23,64,46,72,44,27,39,43
2023/4/8,30,39,30,29,56,53,27,25,56,30,31,43,23,67,46,72,47,27,39,43
2023/4/9,33,39,30,29,56,53,27,25,56,30,31,43,23,67,46,73,47,27,39,44
2023/4/15,36,42,33,29,56,53,27,25,56,30,34,43,23,70,49,73,50,27,39,44
2023/4/16,36,42,33,29,56,53,27,25,59,31,34,43,23,70,49,74,50,27,39,44
2023/4/17,36,42,33,29,56,53,27,25,59,31,34,43,23,70,49,74,50,27,39,47
2023/4/21,36,42,33,29,56,53,27,25,59,31,34,43,24,70,49,75,50,27,39,47
2023/4/22,37,45,33,29,56,53,28,28,59,31,34,44,24,70,49,75,51,27,39,50
2023/4/23,37,45,33,29,59,53,28,28,59,34,34,44,24,70,49,75,51,27,39,50
2023/4/25,37,45,33,30,59,53,28,29,59,34,37,44,24,70,49,75,54,27,39,50
2023/4/26,37,45,33,30,59,53,28,29,59,34,37,47,24,73,49,75,54,30,39,53
2023/4/27,37,45,36,30,62,54,28,29,60,34,37,47,24,73,49,75,54,30,39,53
2023/4/29,40,45,36,30,62,54,28,29,60,34,37,50,24,73,52,75,54,30,39,53
2023/4/30,40,45,39,30,65,54,28,29,63,34,37,50,24,76,52,75,54,30,39,56
2023/5/1,40,45,39,30,65,54,29,30,63,34,37,50,24,76,52,75,54,30,39,56
2023/5/2,40,45,39,30,65,54,29,30,63,34,37,50,24,76,52,78,54,30,39,56
2023/5/3,40,45,39,30,65,54,29,30,63,34,37,50,24,79,52,78,54,30,39,59
2023/5/4,40,45,39,30,65,54,29,30,63,34,37,50,24,79,55,78,54,30,39,59
2023/5/6,40,45,39,30,65,57,29,30,63,34,40,50,24,82,55,78,54,30,42,62
2023/5/7,40,45,39,30,65,57,29,30,63,37,40,50,24,82,55,81,54,30,42,62
2023/5/8,40,48,39,30,65,57,32,30,63,37,40,50,24,82,55,81,54,33,42,62
2023/5/13,43,51,39,31,66,57,32,30,66,37,40,50,24,82,55,81,57,34,43,62
2023/5/14,43,51,39,31,66,57,32,30,66,37,40,53,24,85,58,81,57,34,43,62
2023/5/15,43,51,39,31,66,57,32,30,66,37,40,53,24,85,58,81,57,34,43,65
2023/5/18,43,51,39,31,69,57,32,30,66,37,40,53,24,85,58,81,57,34,43,65
2023/5/20,44,52,39,31,69,57,33,30,69,37,41,56,24,85,58,81,58,37,43,66
2023/5/21,44,52,39,31,69,57,33,30,69,40,41,56,24,88,61,81,58,37,43,66
2023/5/22,44,52,39,31,70,57,33,31,69,40,41,56,24,88,61,81,58,37,43,66
2023/5/24,44,52,39,31,70,57,33,31,69,40,41,56,24,89,62,81,58,37,43,66
2023/5/25,44,52,39,31,70,57,33,31,72,40,41,56,24,89,62,81,58,37,43,66
2023/5/28,45,52,39,31,71,60,36,34,75,40,41,59,25,89,62,84,61,38,44,67
